Model,MAE,RMSE,R2
Linear Regression (Ridge),16053.256703716474,26684.617538255356,0.8987017405754459
Decision Tree,20325.07740485846,30932.331713019918,0.8638852043243344
Random Forest,16021.835097988082,25672.707310511894,0.9062387568313974
XGBoost,14111.4765625,24348.074585067297,0.9156647324562073
MLP Neural Network,14736.5849609375,24532.28664433872,0.9143837690353394
